date,season,team,opponent,moneyLine,projectedRuns
2018-04-10,2018,BOS,NYY,-132,3.98
2018-04-10,2018,LAD,OAK,-123,4.69
2018-04-10,2018,CIN,PHI,175,2.73
2018-04-10,2018,CHC,PIT,-147,5.36
2018-04-10,2018,COL,SD,-150,6.3
2018-04-10,2018,KC,SEA,-105,4.35
2018-04-10,2018,ARI,SF,-108,3.89
2018-04-10,2018,MIL,STL,148,3.02
2018-04-10,2018,CWS,TB,100,4.25
2018-04-10,2018,LAA,TEX,-143,5.88
2018-04-10,2018,BAL,TOR,120,4.09
2018-04-10,2018,ATL,WSH,200,2.33
2018-04-11,2018,SF,ARI,100,3.75
2018-04-11,2018,WSH,ATL,-123,4.96
2018-04-11,2018,TOR,BAL,122,3.83
2018-04-11,2018,NYY,BOS,-106,4.12
2018-04-11,2018,PIT,CHC,145,3.27
2018-04-11,2018,PHI,CIN,-107,4.14
2018-04-11,2018,DET,CLE,250,2.29
2018-04-11,2018,SD,COL,135,4.89
2018-04-11,2018,TB,CWS,-125,5.0
2018-04-11,2018,CLE,DET,-300,6.0
2018-04-11,2018,MIN,HOU,145,3.27
2018-04-11,2018,SEA,KC,-140,4.96
2018-04-11,2018,TEX,LAA,105,5.37
2018-04-11,2018,OAK,LAD,158,2.91
2018-04-11,2018,NYM,MIA,-129,4.79
2018-04-11,2018,STL,MIL,-141,5.56
2018-04-11,2018,HOU,MIN,-160,4.92
2018-04-11,2018,MIA,NYM,119,3.88
2018-04-11,2018,BOS,NYY,-104,4.08
2018-04-11,2018,LAD,OAK,-178,4.8
2018-04-11,2018,CIN,PHI,-103,4.06
2018-04-11,2018,CHC,PIT,-160,4.92
2018-04-11,2018,COL,SD,-150,6.9
2018-04-11,2018,KC,SEA,125,3.78
2018-04-11,2018,ARI,SF,-110,3.93
2018-04-11,2018,MIL,STL,126,4.2
2018-04-11,2018,CWS,TB,115,4.19
2018-04-11,2018,LAA,TEX,-115,5.88
2018-04-11,2018,BAL,TOR,-137,4.91
2018-04-11,2018,ATL,WSH,113,4.23
2018-04-12,2018,NYY,BOS,-114,4.79
2018-04-12,2018,PIT,CHC,155,3.33
2018-04-12,2018,STL,CIN,-146,5.64
2018-04-12,2018,DET,CLE,195,2.88
2018-04-12,2018,WSH,COL,-185,5.84
2018-04-12,2018,MIN,CWS,-245,6.04
2018-04-12,2018,CLE,DET,-225,5.88
2018-04-12,2018,LAA,KC,-152,6.03
2018-04-12,2018,KC,LAA,137,4.22
2018-04-12,2018,CWS,MIN,205,2.79
2018-04-12,2018,BOS,NYY,104,4.41
2018-04-12,2018,CHC,PIT,-175,5.41
2018-04-12,2018,SF,SD,-139,4.94
2018-04-12,2018,SD,SF,124,3.79
2018-04-12,2018,CIN,STL,131,4.11
2018-04-12,2018,COL,WSH,165,3.4
2018-04-13,2018,LAD,ARI,-142,3.81
2018-04-13,2018,CHC,ATL,-196,4.97
2018-04-13,2018,BOS,BAL,-251,6.79
2018-04-13,2018,BAL,BOS,211,3.05
2018-04-13,2018,ATL,CHC,176,2.72
2018-04-13,2018,STL,CIN,-170,5.98
2018-04-13,2018,TOR,CLE,131,3.68
2018-04-13,2018,WSH,COL,-177,5.43
2018-04-13,2018,NYY,DET,-182,5.81
2018-04-13,2018,TEX,HOU,220,2.66
2018-04-13,2018,LAA,KC,-170,6.3
2018-04-13,2018,KC,LAA,150,4.0
2018-04-13,2018,ARI,LAD,127,2.86
2018-04-13,2018,PIT,MIA,-129,4.51
2018-04-13,2018,NYM,MIL,-106,4.37
2018-04-13,2018,MIL,NYM,-104,4.33
2018-04-13,2018,DET,NYY,162,3.44
2018-04-13,2018,SEA,OAK,119,3.65
2018-04-13,2018,TB,PHI,-114,4.26
2018-04-13,2018,MIA,PIT,119,3.65
2018-04-13,2018,SF,SD,-131,4.82
2018-04-13,2018,OAK,SEA,-129,4.51
2018-04-13,2018,SD,SF,116,3.94
2018-04-13,2018,CIN,STL,150,3.8
2018-04-13,2018,PHI,TB,104,3.92
2018-04-13,2018,HOU,TEX,-260,6.14
2018-04-13,2018,CLE,TOR,-146,5.04
2018-04-13,2018,COL,WSH,157,3.31
2018-04-14,2018,LAD,ARI,-180,4.82
2018-04-14,2018,CHC,ATL,-178,4.16
2018-04-14,2018,BOS,BAL,-155,5.47
2018-04-14,2018,BAL,BOS,140,3.75
2018-04-14,2018,ATL,CHC,158,2.52
2018-04-14,2018,STL,CIN,-121,5.2
2018-04-14,2018,WSH,COL,-184,4.86
2018-04-14,2018,TEX,HOU,200,2.83
2018-04-14,2018,LAA,KC,-163,4.65
2018-04-14,2018,KC,LAA,148,3.02
2018-04-14,2018,ARI,LAD,160,2.88
2018-04-14,2018,PIT,MIA,-195,4.96
2018-04-14,2018,NYM,MIL,-105,4.1
2018-04-14,2018,MIL,NYM,-105,4.1
2018-04-14,2018,SEA,OAK,-109,4.69
2018-04-14,2018,TB,PHI,-142,4.11
2018-04-14,2018,MIA,PIT,175,2.73
2018-04-14,2018,SF,SD,-102,4.29
2018-04-14,2018,OAK,SEA,-101,4.52
2018-04-14,2018,SD,SF,-108,4.41
2018-04-14,2018,CIN,STL,111,4.5
2018-04-14,2018,PHI,TB,127,3.08
2018-04-14,2018,HOU,TEX,-240,6.0
2018-04-14,2018,COL,WSH,164,2.84
2018-04-15,2018,LAD,ARI,-210,4.4
2018-04-15,2018,BOS,BAL,-225,4.5
2018-04-15,2018,BAL,BOS,195,2.2
2018-04-15,2018,STL,CIN,-185,5.52
2018-04-15,2018,WSH,COL,-205,4.7
2018-04-15,2018,TEX,HOU,288,2.06
2018-04-15,2018,ARI,LAD,180,2.32
2018-04-15,2018,PIT,MIA,-139,4.94
2018-04-15,2018,NYM,MIL,-207,4.72
2018-04-15,2018,MIL,NYM,177,2.53
2018-04-15,2018,SEA,OAK,104,4.17
2018-04-15,2018,TB,PHI,-138,4.64
2018-04-15,2018,MIA,PIT,124,3.79
2018-04-15,2018,SF,SD,120,3.64
2018-04-15,2018,OAK,SEA,-114,4.53
2018-04-15,2018,SD,SF,-135,4.6
2018-04-15,2018,CIN,STL,165,3.21
2018-04-15,2018,PHI,TB,123,3.59
2018-04-15,2018,HOU,TEX,-338,6.17
2018-04-15,2018,COL,WSH,175,2.55
2018-04-16,2018,PHI,ATL,-117,4.58
2018-04-16,2018,MIL,CIN,-117,4.31
2018-04-16,2018,PIT,COL,-127,4.48
2018-04-16,2018,OAK,CWS,-155,5.17
2018-04-16,2018,SEA,HOU,-102,3.53
2018-04-16,2018,SD,LAD,128,3.29
2018-04-16,2018,NYY,MIA,-342,6.58
2018-04-16,2018,CIN,MIL,107,3.86
2018-04-16,2018,WSH,NYM,151,2.99
2018-04-16,2018,MIA,NYY,292,2.17
2018-04-16,2018,CWS,OAK,140,3.54
2018-04-16,2018,ATL,PHI,107,4.11
2018-04-16,2018,COL,PIT,117,3.69
2018-04-16,2018,LAD,SD,-143,4.41
2018-04-16,2018,HOU,SEA,-108,3.63
2018-04-16,2018,TEX,TB,153,2.96
2018-04-16,2018,TB,TEX,-168,4.7
2018-04-16,2018,NYM,WSH,-171,4.73
2018-04-17,2018,SF,ARI,135,3.4
2018-04-17,2018,PHI,ATL,-101,4.27
2018-04-17,2018,DET,BAL,100,4.5
2018-04-17,2018,LAA,BOS,-166,4.99
